Заголовок,Ссылка,Источник,Дата
Два самолета МО РФ доставили эвакуированных из Афганистана граждан Киргизии,https://yandex.ru/news/story/Dva_samoleta_MO_RF_dostavili_ehvakuirovannykh_izAfganistana_grazhdan_Kirgizii--f38b49e7e01acbcd79a1be0fba39ef19?lang=ru&rubric=index&fan=1&stid=xEdCgFGYuCgaR3c3TWc1&t=1629903283&tt=true&persistent_id=158460989,Известия,2021-08-25 17:55:00
Путин разрешил допустить к госслужбе россиян с иностранным гражданством,https://yandex.ru/news/story/Putin_razreshil_dopustit_kgossluzhbe_rossiyan_sinostrannym_grazhdanstvom--e5bdaaea25676c8e90696793e4f099d6?lang=ru&rubric=index&fan=1&stid=xGwrhwIuIledPjmtEgBg&t=1629903283&tt=true&persistent_id=159224703,Ведомости,2021-08-25 17:52:00
Подозреваемого в убийстве восьмилетней девочки в Тюмени задержали,https://yandex.ru/news/story/Podozrevaemogo_vubijstve_vosmiletnej_devochki_vTyumeni_zaderzhali--6a8a5a25aba7949a4cc31026d61602f2?lang=ru&rubric=index&fan=1&stid=Szo30Lz9QyEk6VZluwdC&t=1629903283&tt=true&persistent_id=159211683,ТАСС,2021-08-25 17:49:00
Nord Stream 2 проиграла дело о выводе «Северного потока-2» из-под норм ЕС,https://yandex.ru/news/story/Nord_Stream_2_proigrala_delo_ovyvode_Severnogo_potoka-2_iz-podnorm_ES--f19e9ea135139eb6886a24cfef1f4a03?lang=ru&rubric=index&fan=1&stid=XqYg_ZMwxOr7iVk2hU0A&t=1629903283&tt=true&persistent_id=158432290,РБК,2021-08-25 17:50:00
Сопротивление талибам в Афганистане призвало Россию организовать переговоры,https://yandex.ru/news/story/Soprotivlenie_talibam_vAfganistane_prizvalo_Rossiyu_organizovat_peregovory--b59c51d88ddd818215ca18399451e77e?lang=ru&rubric=index&fan=1&stid=yL0Mg4jEzIGUoMoJI0j6&t=1629903283&tt=true&persistent_id=159217374,Известия,2021-08-25 17:48:00
